epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,617.063,0.97758,0.99103,1.25884,0.6988,0.62802,0.62893,0.44875,0.96819,1.38141,1.18138,0.000990365,0.000990365,0.000990365
43,631.473,0.95182,0.96178,1.22594,0.81654,0.69786,0.75528,0.54192,0.8418,0.90563,1.12513,0.000973861,0.000973861,0.000973861
44,645.841,0.94623,0.95568,1.22848,0.62931,0.82005,0.75885,0.52615,0.86378,0.93547,1.11253,0.000957358,0.000957358,0.000957358
45,660.26,0.93818,0.9354,1.21007,0.75616,0.59528,0.68498,0.49122,0.92993,1.03516,1.19477,0.000940855,0.000940855,0.000940855
46,674.653,0.91271,0.89001,1.20379,0.84954,0.63768,0.76512,0.53717,0.97396,0.90024,1.18651,0.000924352,0.000924352,0.000924352
47,689.038,0.87556,0.86122,1.18006,0.89613,0.57679,0.68008,0.47807,1.13891,1.44168,1.3446,0.000907848,0.000907848,0.000907848
48,703.4,0.88822,0.84281,1.18287,0.84086,0.66109,0.74378,0.52198,0.87395,1.03644,1.15973,0.000891345,0.000891345,0.000891345
49,717.822,0.86728,0.86547,1.17371,0.88381,0.64976,0.74718,0.493,1.02527,0.99913,1.31371,0.000874842,0.000874842,0.000874842
50,732.266,0.89633,0.90819,1.19404,0.72182,0.74542,0.79349,0.56701,0.83562,0.75671,1.11607,0.000858338,0.000858338,0.000858338
51,746.71,0.88255,0.87891,1.17654,0.95151,0.68135,0.82147,0.57381,1.08269,0.80536,1.26601,0.000841835,0.000841835,0.000841835
52,761.175,0.8675,0.81736,1.16574,0.81628,0.68281,0.76754,0.56927,0.82179,0.85193,1.12334,0.000825332,0.000825332,0.000825332
53,777.705,0.85437,0.78432,1.16923,0.76473,0.77009,0.80452,0.56137,0.89062,0.95404,1.16908,0.000808828,0.000808828,0.000808828
54,791.863,0.87961,0.81883,1.18365,0.95556,0.69083,0.86646,0.63345,0.80373,0.84161,1.12765,0.000792325,0.000792325,0.000792325
55,807.244,0.84706,0.80542,1.15232,0.75744,0.77556,0.80159,0.58987,0.82328,0.857,1.11225,0.000775822,0.000775822,0.000775822
56,821.758,0.84642,0.79386,1.1688,0.88391,0.63814,0.76347,0.57943,0.7846,0.80372,1.08982,0.000759318,0.000759318,0.000759318
57,836.186,0.77367,0.76311,1.12479,0.82344,0.72101,0.78799,0.58955,0.76185,0.93481,1.06922,0.000742815,0.000742815,0.000742815
58,850.627,0.80966,0.74057,1.13156,0.93718,0.71377,0.82414,0.56811,0.872,0.79737,1.1381,0.000726312,0.000726312,0.000726312
59,865.1,0.79718,0.77563,1.12543,0.80533,0.79227,0.85256,0.56523,0.83197,0.83357,1.10132,0.000709809,0.000709809,0.000709809
60,879.513,0.7864,0.74762,1.12621,0.85979,0.66489,0.76309,0.54828,0.90141,1.30523,1.14993,0.000693305,0.000693305,0.000693305
61,893.917,0.77913,0.71339,1.11114,0.98931,0.66546,0.77433,0.56317,0.82617,1.08195,1.11134,0.000676802,0.000676802,0.000676802
62,908.3,0.77489,0.71108,1.11796,0.65534,0.59968,0.67138,0.42919,1.00446,1.17407,1.28312,0.000660299,0.000660299,0.000660299
63,922.726,0.77048,0.71011,1.10239,0.86805,0.63067,0.78214,0.54231,0.82158,0.85087,1.11875,0.000643795,0.000643795,0.000643795
64,937.189,0.75881,0.70149,1.10874,0.83706,0.62859,0.73966,0.53475,0.81188,1.22388,1.11925,0.000627292,0.000627292,0.000627292
65,951.594,0.78496,0.70563,1.12468,0.9242,0.64372,0.74809,0.51518,0.8211,0.91498,1.13339,0.000610789,0.000610789,0.000610789
66,965.948,0.77232,0.70366,1.11524,0.98135,0.69324,0.79569,0.55101,0.94353,0.83762,1.22032,0.000594286,0.000594286,0.000594286
67,980.36,0.76138,0.69136,1.10717,0.84521,0.68124,0.74649,0.5415,0.85492,0.97565,1.13754,0.000577782,0.000577782,0.000577782
68,994.739,0.73477,0.67217,1.09673,0.82368,0.71049,0.80713,0.57332,0.92981,0.90753,1.17509,0.000561279,0.000561279,0.000561279
69,1009.12,0.72688,0.67092,1.08612,0.81497,0.6872,0.76552,0.5805,0.91827,1.0713,1.15979,0.000544776,0.000544776,0.000544776
70,1023.55,0.69062,0.62629,1.06228,0.93741,0.7416,0.89549,0.6676,0.72976,0.64218,1.03,0.000528272,0.000528272,0.000528272
71,1038.06,0.72567,0.64897,1.10285,0.868,0.74275,0.82457,0.59958,0.81634,0.70268,1.07943,0.000511769,0.000511769,0.000511769
72,1052.56,0.69833,0.60913,1.08604,0.93782,0.66936,0.8134,0.62453,0.76203,0.7843,1.09385,0.000495266,0.000495266,0.000495266
73,1066.98,0.7093,0.60429,1.07384,0.84156,0.71053,0.80557,0.60271,0.74069,0.73081,1.08069,0.000478762,0.000478762,0.000478762
74,1081.34,0.69099,0.59986,1.06243,0.8548,0.71498,0.80196,0.59553,0.78905,0.73201,1.11111,0.000462259,0.000462259,0.000462259
75,1095.74,0.72341,0.63319,1.09876,0.93955,0.68004,0.83434,0.63278,0.72783,0.661,1.06495,0.000445756,0.000445756,0.000445756
76,1110.24,0.67644,0.60555,1.05319,0.80062,0.78835,0.86708,0.59647,0.77271,0.69424,1.08686,0.000429253,0.000429253,0.000429253
77,1124.63,0.6738,0.5854,1.04707,0.89641,0.73121,0.82197,0.61705,0.82697,0.92146,1.08585,0.000412749,0.000412749,0.000412749
78,1139.03,0.64789,0.59511,1.04724,0.91667,0.66571,0.7938,0.62001,0.71161,0.78001,1.0206,0.000396246,0.000396246,0.000396246
79,1153.41,0.65824,0.57673,1.05937,0.84124,0.70894,0.82214,0.6099,0.70268,0.73447,1.06175,0.000379743,0.000379743,0.000379743
80,1167.78,0.64789,0.58064,1.05139,0.91091,0.77738,0.82563,0.63404,0.69417,0.76203,1.01993,0.000363239,0.000363239,0.000363239
81,1182.25,0.64632,0.55482,1.04226,0.90498,0.77817,0.8227,0.64651,0.78763,0.73121,1.07293,0.000346736,0.000346736,0.000346736
